GeneID	GeneName	seed	spikelet	stem
SORBI_3001G037000	SORBI_3001G037000	27	43	44
SORBI_3001G037033	SORBI_3001G037033	0.7	1	3
SORBI_3001G037066	SORBI_3001G037066	4	739	
SORBI_3001G037100	SORBI_3001G037100	30	28	40
SORBI_3001G037200	SORBI_3001G037200		1	0.7
SORBI_3001G037300	SORBI_3001G037300		1	1
SORBI_3001G037400	SORBI_3001G037400		3	9
SORBI_3001G037500	SORBI_3001G037500	6	13	14
SORBI_3001G037800	SORBI_3001G037800	115	6	15
SORBI_3001G037900	SORBI_3001G037900	75	62	42
SORBI_3001G038000	SORBI_3001G038000	29	69	34
SORBI_3001G038050	SORBI_3001G038050		0.5	
SORBI_3001G038100	SORBI_3001G038100	25	19	36
SORBI_3001G038200	SORBI_3001G038200	31	39	47
SORBI_3001G038300	SORBI_3001G038300	19	71	170
SORBI_3001G038400	SORBI_3001G038400			2
SORBI_3001G038500	SORBI_3001G038500	0.6	3	4
SORBI_3001G038601	SORBI_3001G038601			0.7
SORBI_3001G038700	SORBI_3001G038700	0.9	2	4
SORBI_3001G038800	SORBI_3001G038800	22	22	43
SORBI_3001G038900	SORBI_3001G038900	0.8	2	3
SORBI_3001G039100	SORBI_3001G039100		5	
SORBI_3001G039200	SORBI_3001G039200		0.5	
SORBI_3001G039300	SORBI_3001G039300	11	14	21
SORBI_3001G039400	SORBI_3001G039400	192	309	415
SORBI_3001G039500	SORBI_3001G039500	43	56	69
SORBI_3001G039600	SORBI_3001G039600	23	21	31
SORBI_3001G039700	SORBI_3001G039700	131	93	285
SORBI_3001G039800	SORBI_3001G039800	60	129	129
SORBI_3001G039900	SORBI_3001G039900	111	35	58
SORBI_3001G040000	SORBI_3001G040000	11	38	42
SORBI_3001G040100	SORBI_3001G040100	76	295	250
SORBI_3001G040200	SORBI_3001G040200	49	30	254
SORBI_3001G040300	SORBI_3001G040300	49	48	90
SORBI_3001G040400	SORBI_3001G040400			0.5
SORBI_3001G040500	SORBI_3001G040500	73	115	171
SORBI_3001G040600	SORBI_3001G040600	11	13	22
SORBI_3001G040701	SORBI_3001G040701			1
SORBI_3001G040800	SORBI_3001G040800	342	553	578
SORBI_3001G041000	SORBI_3001G041000	26	46	58
SORBI_3001G041100	SORBI_3001G041100	45	62	63
SORBI_3001G041200	SORBI_3001G041200	36	55	70
SORBI_3001G041300	SORBI_3001G041300		1	
SORBI_3001G041400	SORBI_3001G041400	42	20	27
SORBI_3001G041500	SORBI_3001G041500		1	2
SORBI_3001G041600	SORBI_3001G041600		88	
SORBI_3001G041700	SORBI_3001G041700	2	4	3
SORBI_3001G041800	SORBI_3001G041800	30	24	34
SORBI_3001G041900	SORBI_3001G041900	6	7	8
SORBI_3001G042000	SORBI_3001G042000	19	36	30
SORBI_3001G042200	SORBI_3001G042200	131	119	152
SORBI_3001G042301	SORBI_3001G042301	1	9	3
SORBI_3001G042400	SORBI_3001G042400	2	6	4
SORBI_3001G042500	SORBI_3001G042500	26	46	17
SORBI_3001G042600	SORBI_3001G042600			0.7
SORBI_3001G042800	SORBI_3001G042800	425	23	6
SORBI_3001G042901	SORBI_3001G042901		0.6	0.5
SORBI_3001G043000	SORBI_3001G043000		2	0.9
SORBI_3001G043100	SORBI_3001G043100	13	21	33
SORBI_3001G043200	SORBI_3001G043200	4	6	8
SORBI_3001G043300	SORBI_3001G043300		0.7	0.5
SORBI_3001G043400	SORBI_3001G043400	49	57	74
SORBI_3001G043500	SORBI_3001G043500	14	43	21
SORBI_3001G043601	SORBI_3001G043601	18	31	45
SORBI_3001G043700	SORBI_3001G043700	11	7	6
SORBI_3001G043800	SORBI_3001G043800	35	49	68
SORBI_3001G043900	SORBI_3001G043900	8	15	18
SORBI_3001G044000	SORBI_3001G044000	2	3	3
SORBI_3001G044300	SORBI_3001G044300	3	0.8	
SORBI_3001G044400	SORBI_3001G044400	1	1	1
SORBI_3001G044500	SORBI_3001G044500	3	19	13
