GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
ENSRNA049485550,SSU_rRNA_eukarya,1,0.5,0.7,0.6,1,3
ENSRNA049485554,SSU_rRNA_eukarya,,,0.2,,,0.5
ENSRNA049485566,SSU_rRNA_eukarya,7,2,3,5,3,9
ENSRNA049485567,SSU_rRNA_eukarya,10,3,4,5,4,12
ENSRNA049485569,SSU_rRNA_eukarya,13,6,3,7,4,17
ENSRNA049485570,SSU_rRNA_eukarya,10,4,3,4,3,10
ENSRNA049485571,SSU_rRNA_eukarya,6,3,4,5,3,41
ENSRNA049485572,LSU_rRNA_eukarya,178,2,24,3,1,191
ENSRNA049485573,SSU_rRNA_eukarya,4,1,3,1,2,7
ENSRNA049485574,SSU_rRNA_eukarya,7,4,5,4,2,14
ENSRNA049485575,SSU_rRNA_eukarya,6,2,8,1,3,13
ENSRNA049485577,SSU_rRNA_eukarya,8,3,5,8,2,12
ENSRNA049485579,5_8S_rRNA,1,,1,,,
ENSRNA049485582,5_8S_rRNA,2,,1,,,0.6
ENSRNA049485583,5_8S_rRNA,0.6,,,,0.7,
ENSRNA049485585,5_8S_rRNA,1,4,,,,0.6
ENSRNA049485586,5_8S_rRNA,3,,,,,
ENSRNA049485587,5_8S_rRNA,1,,,,,0.6
ENSRNA049485589,SSU_rRNA_eukarya,9,2,0.7,2,1,8
ENSRNA049485591,SSU_rRNA_eukarya,14,3,4,4,4,13
ENSRNA049485592,5_8S_rRNA,2,,,,,0.6
ENSRNA049995726,sbi-MIR437w,1,1,7,,,
ENSRNA049995734,sbi-MIR437u,0.6,0.9,13,3,0.7,2
ENSRNA049995738,sbi-MIR6230,1,,1,0.9,,1
ENSRNA049995750,sbi-MIR164e,,,,0.8,,0.5
ENSRNA049995780,sbi-MIR167i,,1,,,,2
ENSRNA049995788,sbi-MIR5565g,,24,,,11,
ENSRNA049995793,sbi-MIR166k,,,,0.7,,
ENSRNA049995800,sbi-MIR169q,,,,,4,
ENSRNA049995823,sbi-MIR160f,,2,,,1,
ENSRNA049995843,sbi-MIR169l,1,,2,0.8,9,2
ENSRNA049995883,sbi-MIR6223,2,,,,,2
ENSRNA049995889,sbi-MIR171b,,,,,,2
ENSRNA049995894,sbi-MIR437t,2,,7,,,1
ENSRNA049995946,sbi-MIR393b,,3,,,2,
ENSRNA049995956,sbi-MIR5386,0.9,,,0.7,,2
ENSRNA049995974,sbi-MIR396e,,0.8,,0.8,0.6,
ENSRNA049996072,sbi-MIR5385,3,,,,1,2
ENSRNA049996096,sbi-MIR156h,,0.8,,,2,
ENSRNA049996103,sbi-MIR437s,3,,,,,0.6
ENSRNA049996138,sbi-MIR169c,,,,,0.8,
ENSRNA049996144,sbi-MIR437q,1,,,,,0.6
ENSRNA049996159,sbi-MIR437r,0.5,,,,,0.5
ENSRNA049996218,sbi-MIR169i,,5,8,,,
ENSRNA049996235,sbi-MIR172c,2,,,,,5
ENSRNA049996244,sbi-MIR396d,,,,0.8,,
ENSRNA049996250,sbi-MIR396a,4,,,,,
ENSRNA049996275,sbi-MIR166g,8,0.6,,,,4
ENSRNA049996287,sbi-MIR166f,12,0.5,,,,5
ENSRNA049996294,sbi-MIR166d,2,9,8,16,3,
ENSRNA049996330,sbi-MIR171f,0.8,,,,,
ENSRNA049996394,sbi-MIR529,,0.6,,,,
ENSRNA049996419,sbi-MIR399j,,0.8,,,,
