GeneID	GeneName	leaf	early_infl	emer_infl	seed_5DAP	seed_10DAP	anther	pistil	embryo	endosperm
SORBI_3001G038300	SORBI_3001G038300	4	306	310	120	16	5	133	50	20
SORBI_3001G038450	SORBI_3001G038450		1	1				3	7	
SORBI_3001G038500	SORBI_3001G038500	53	7	5	4	5	2	21	4	3
SORBI_3001G038601	SORBI_3001G038601	1								
SORBI_3001G038700	SORBI_3001G038700	11	2	4	1	1	11	1		1
SORBI_3001G038800	SORBI_3001G038800	14	69	39	34	21	10	59	46	14
SORBI_3001G038900	SORBI_3001G038900	2	4	3	11	1		20	2	2
SORBI_3001G039100	SORBI_3001G039100			5			29			
SORBI_3001G039200	SORBI_3001G039200						3			
SORBI_3001G039300	SORBI_3001G039300	2	19	18	26	8	14	24	32	7
SORBI_3001G039400	SORBI_3001G039400	201	491	329	702	174	164	464	403	171
SORBI_3001G039500	SORBI_3001G039500	46	80	91	55	53	36	84	35	121
SORBI_3001G039600	SORBI_3001G039600	20	26	23	24	16	11	20	30	22
SORBI_3001G039700	SORBI_3001G039700	63	281	124	97	64	111	218	359	119
SORBI_3001G039800	SORBI_3001G039800	60	142	98	88	57	33	191	91	44
SORBI_3001G039900	SORBI_3001G039900	27	26	30	56	62	15	43	87	64
SORBI_3001G040000	SORBI_3001G040000	134	21	40	36	6	8	19	10	5
SORBI_3001G040100	SORBI_3001G040100	56	205	268	129	41	244	117	116	21
SORBI_3001G040200	SORBI_3001G040200	129	9	7	150	30	26	76	33	32
SORBI_3001G040300	SORBI_3001G040300	17	117	57	92	50	5	130	82	37
SORBI_3001G040500	SORBI_3001G040500	66	211	172	151	66	60	410	190	89
SORBI_3001G040600	SORBI_3001G040600	4	26	20	26	8	1	23	32	3
SORBI_3001G040701	SORBI_3001G040701		2		2	1		2	2	1
SORBI_3001G040800	SORBI_3001G040800	228	319	294	537	139	385	368	194	151
SORBI_3001G041000	SORBI_3001G041000	27	58	48	77	24	69	74	67	28
SORBI_3001G041100	SORBI_3001G041100	28	72	57	92	24	47	94	30	44
SORBI_3001G041200	SORBI_3001G041200	16	54	61	79	18	39	68	34	24
SORBI_3001G041300	SORBI_3001G041300						3			
SORBI_3001G041400	SORBI_3001G041400	11	27	29	37	31	11	37	22	73
SORBI_3001G041500	SORBI_3001G041500	2	8	3					3	
