Taxa,Amylose,Cal.g,Fat,IVSD,Prolamin,Protein,Starch
PI656030,-0.312129576,-11.08904317,-0.232583478,1.698441407,0.062958359,0.764427532,-0.508995554
PI656031,-0.427647396,-48.640995,-0.333537836,-0.22293965,-0.027118032,-0.5514621,2.071712582
PI656032,-0.901640722,5.384738039,0.397511265,-1.012776979,-0.281173872,-1.14242035,1.662299865
PI656033,-0.559004478,-9.924978713,-0.18678949,0.962971076,-0.079058337,0.442251135,0.660772338
PI656034,-0.20054208,-50.03239049,-0.228525258,-0.905386816,-0.14341915,-0.846313881,2.28642088
PI656035,-0.016167381,-28.59092769,-0.072352706,0.536874622,-0.084704022,-0.281704088,1.110192813
PI656036,0.021566167,-73.42055633,-0.553469836,-0.368749341,-0.354850241,-1.263110653,1.687775187
PI656037,-0.698312984,-94.84367811,-0.592113518,-1.279353731,-0.617959366,-2.15044126,3.268648903
PI656038,0.822609235,5.703903997,0.038856822,-2.20231306,-0.138827263,-1.179162456,0.368272651
PI656039,-0.316515888,-15.69501944,-0.074248694,1.864144867,-0.197563589,-0.070654003,-1.356357335
PI656040,-1.414759116,-40.6445188,-0.23956025,3.02745304,-0.146113519,0.306503818,0.280044148
PI656041,-0.72907271,-25.96775596,-0.17105357,1.955343781,0.002966124,0.236674672,1.023035242
PI656043,-0.451391519,-82.17928317,-0.333041019,-0.842190759,-0.341326644,-1.5076317,3.310087622
PI656044,-1.379866208,-61.5923733,-0.416305004,0.596568694,-0.43431242,-1.128696041,1.767291256
PI656046,0.251294629,28.77502779,0.157867177,-3.075130004,0.377113038,0.328074488,-0.204728813
PI656047,-1.45159959,-53.8121542,-0.13159057,2.264355095,-0.477643721,-1.082195306,2.53713616
PI656048,0.861392884,-45.04752693,-0.291802067,-0.47813563,-0.149064835,-0.811182605,2.329095821
PI656049,0.736150446,9.320346583,-0.116802123,-1.616416816,0.202821428,0.564474135,0.766417432
PI656050,-0.12062,-21.85954258,-0.122166365,1.533409146,-0.180680673,-0.159999311,1.015507787
PI656051,0.13655501,-47.57416142,-0.225832627,-1.518550006,-0.325210217,-1.390848659,1.790324688
PI656052,-0.574477028,-20.56677257,-0.104990657,2.663252561,-0.249920038,-0.223140514,0.526685763
PI656053,-0.318446931,-1.278241644,-0.0629285,-1.246033032,0.12983202,0.245265052,0.568754496
PI656054,-0.472949153,13.80640969,0.196350608,0.092315064,-0.015357448,0.073228369,0.499641257
PI656055,0.731618417,10.88773633,-0.0629285,-1.104000881,0.023693136,0.37449796,0.603427886
PI656056,0.154460259,11.16916697,0.245401868,-0.225131526,-0.192363668,-0.041544831,0.430668212
PI656057,0.301938324,-29.33902109,-0.162555818,1.498767158,-0.272140775,-0.63176216,1.384912747
PI656058,0.642991952,2.107099278,0.139018765,0.52417256,-0.233750115,-0.096010201,1.482264957
PI656059,0.234677167,-31.56438062,-0.185443174,-0.450422039,-0.066637829,-0.306797857,1.286226945
PI656060,0.406390943,-0.000370049,-0.182750544,-0.105156891,0.047405014,0.399591729,-0.106043012
PI656061,-0.116663462,48.69119511,0.433861772,0.302463836,-0.030505443,0.143635289,0.144672268
PI656062,0.123894086,-19.65164827,0.035352502,1.386758063,-0.335372451,-0.377060409,-0.234067835
PI656063,-0.724384753,6.959377198,0.3029186,0.46305605,-0.2016496,-0.648188398,0.779176667
PI656065,0.205398782,-0.928937336,-0.022539047,2.588835051,-0.018084935,0.540116833,-0.283410736
PI656066,0.004051279,31.98949531,0.044644571,0.564416948,0.190559759,1.045494557,-1.146757097
PI656068,-0.010628227,-25.85325518,-0.111395844,-0.190607128,-0.117448997,-0.267902516,2.039706376
PI656069,0.100899039,-4.170848469,-0.111161988,0.491904959,0.113935647,0.473464107,0.349753568
PI656070,0.123102778,0.567249452,-0.322767315,-0.237951179,0.101603594,0.743376358,0.112666062
PI656071,-0.941206108,-22.61054685,0.06631775,0.521863094,-0.255203719,-1.085959371,1.186207552
PI656072,-0.304354978,-3.640196665,0.087068005,1.599863532,-0.013918285,0.391561837,-0.197083872
PI656074,-0.30815993,-24.57538358,0.305961838,1.248190111,-0.412153771,-1.351953318,0.90615325
PI656075,0.687305185,-17.1221029,-0.270261026,-1.181367988,0.013530902,-0.029511714,0.700780096
PI656076,0.267120784,-22.19720342,-0.351039932,0.044958391,0.381629586,1.025681254,0.115333246
PI656077,-0.557421863,16.46350636,0.047469338,1.652346639,0.040630192,1.068340661,-0.778173336
PI656078,-1.007240518,73.01773021,0.221627515,1.496663145,0.817449366,3.438080822,-5.189962342
PI656079,0.438043252,38.54972669,0.600804845,-0.912315214,-0.065508692,-0.083463316,0.816802592
PI656080,-1.281508139,-88.28699378,-0.850540265,-2.416496143,-0.164225863,-1.376934041,3.553727398
PI656082,-0.445056166,19.77753098,-0.108703214,-1.567048789,0.223550397,0.543880898,-2.06375594
PI656083,-0.495699861,-4.101784804,0.060932489,-1.505847943,0.281136387,0.211388464,0.188680801
PI656085,0.684139954,-8.901808176,-0.015807472,0.293225972,-0.190842906,-0.265393139,-0.487450299
PI656086,0.613713566,39.93675588,0.169984012,-1.433099768,0.354530296,0.85378894,-1.78503523
PI656087,0.045011942,2.172648811,-0.009272594,0.737955472,-0.012455679,0.194876158,-0.393901404
PI656088,0.072968102,-32.34065057,-0.434537499,-0.263427345,-0.030945511,0.071232648,1.551048444
PI656089,-0.490160707,27.57866054,0.268265015,0.962971076,0.206613341,0.772234192,-1.083565884
PI656090,0.016276236,74.22534006,1.024894102,-1.397303047,0.115153238,-0.020728895,-1.160914215
PI656091,-0.265254653,-42.89144521,-0.43642644,2.082093712,-0.118306699,0.001878116,0.803756977
PI656092,-0.638926558,13.46967734,0.33288814,3.158118388,-0.063250418,0.579012174,-2.12643476
PI656093,0.342295018,25.88453464,0.577917488,0.267821848,0.032726233,-0.092246136,0.554084985
PI656094,0.230720629,11.73479928,0.098629312,-0.168667202,0.054179837,-0.222733732,-1.356952226
PI656095,0.465739022,-3.544353345,-0.097932693,0.331332159,-0.030505443,0.197586892,-0.656816472
PI656096,-0.262394428,-30.25216351,-0.441540238,2.625189409,-0.075934435,0.337363954,1.037451015
PI656097,0.289580026,-18.75445117,-0.280527391,1.151366742,-0.020095801,0.580473661,0.420315511
PI656098,0.695218262,8.5488529,0.102668257,0.156967486,-0.222458744,-0.348202575,0.203350312
PI656099,-0.206081234,-61.56379898,-0.437204098,-0.703308552,-0.225846155,-0.914067056,3.613344833
PI656100,-1.723305262,17.14328049,0.280466078,0.49905202,0.136897993,0.411322975,1.35129272
PI656101,-0.457383659,33.08944779,0.324980622,0.881921386,0.29388045,1.122396438,-1.60092793
PI656102,0.407182251,2.910499188,-0.103317953,-2.34995772,0.247262275,-0.133650854,0.179345658
PI656103,-0.816179488,11.80029384,0.386740744,-2.038179827,-0.027118032,-0.940415513,0.343377463
PI656104,2.2976164,47.07129638,0.540220666,-0.272593167,-0.138902601,-0.35196664,-1.918394421
PI656105,1.279203361,-36.28581052,-0.635112418,-2.29106634,-0.280044735,-1.393358036,0.943493824
PI656107,0.121520163,-16.17752583,-0.030616938,1.19276293,-0.155839657,-0.515076136,0.547417026
PI656108,0.2789904,24.44219893,0.025928297,0.648883717,0.282265524,1.195064192,-1.458305211
PI656109,0.235765455,32.98626414,0.067639853,0.492863483,0.359750436,0.937781963,-3.262208689
PI656110,0.812816892,89.4340096,0.611949813,-0.90757042,0.427026063,1.099690068,-3.955862157
PI656111,-0.618352558,-19.37802656,0.161906122,-0.10862109,-0.347792958,-1.190098511,2.409111336
PI656112,-0.960197494,-5.676565061,-0.019846417,4.364814307,0.071116893,1.034464073,-1.560991789
PI656113,-0.94753657,228.5319737,2.569117524,0.652347916,0.522771719,2.008102294,-6.003186451
PI656114,-0.250394467,-9.195805969,-0.166594763,1.143109414,0.095957908,0.663076299,-0.148717953
PI656115,-0.134072231,31.80524267,0.047469338,-0.71832008,0.815218219,1.919019416,-0.243402979
PI656116,0.464947715,0.664763571,-0.017153787,-0.050884443,0.032726233,-0.255355631,-0.150051545
PI656117,0.100863835,-46.25549734,-0.645205364,-1.419442609,0.08080363,0.089302918,1.803747461
PI656118,-0.268775575,11.37231585,-0.214448356,-3.649153963,0.507737559,0.332441195,-1.515306313
PI656119,1.932032232,-14.24761953,-0.426433578,0.506851566,0.104991005,0.556427782,0.746122221
PI656120,0.012643774,-50.52604757,-0.509582993,-0.18859452,-0.152060321,-0.44886196,1.690326671
PI656121,0.544869795,11.89635252,-0.069660076,-2.85342128,0.254037097,-0.094755512,-0.312749758
PI659691,-0.142776616,-85.61631148,-0.605493486,1.308236224,-0.505872148,-1.569014416,3.15058844
PI659695,-1.143780885,8.305795319,-0.042733774,3.900611667,-0.132127779,0.748395112,-0.534126016
PI659696,-0.168098463,-68.720171,-0.559718773,-1.600536044,-0.373763111,-1.786075514,1.311565192
PI659753,-0.523791285,-51.59116097,0.013138303,1.733177944,-0.459012959,-1.426607279,2.766513969
